dataset,method,dataset_kind,n_runs,dataset_n_mean,dataset_n_std,dataset_d_mean,dataset_d_std,out_dim_mean,out_dim_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,train_time_s_mean,train_time_s_std,infer_time_s_mean,infer_time_s_std,r2_raw_mean,r2_raw_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,r2_retention_mean,r2_retention_std,delta_r2_mean,delta_r2_std,rmse_ratio_mean,rmse_ratio_std,mae_ratio_mean,mae_ratio_std,distance_preservation_mean,distance_preservation_std,semantic_unpaired_acc_mean,semantic_unpaired_acc_std,semantic_paired_acc_mean,semantic_paired_acc_std,semantic_max_abs_corr_mean,semantic_max_abs_corr_std,recon_r2_knownpair_ridge_mean,recon_r2_knownpair_ridge_std,worst_attr_knownpair_ridge_mean,worst_attr_knownpair_ridge_std,z_mean_abs_skew_mean,z_mean_abs_skew_std,z_offdiag_corr_mean_abs_mean,z_offdiag_corr_mean_abs_std,aux_random_rot_r2_mean,aux_random_rot_r2_std,aux_ica_r2_mean,aux_ica_r2_std,neural_best_r2_mean,neural_best_r2_std,neural_best_worst_attr_mean,neural_best_worst_attr_std,known_pair_robustness
openml_superconduct,raw,real,3,21263.0,0.0,81.0,0.0,81.0,0.0,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,2.116601750666632,0.04423224071250349,0.008677354666739726,0.0020787810742927794,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.850462293418876e-17,0.9012345679012346,0.024691358024691357,1.0,0.0,1.0,0.0,0.9996398735623977,5.71527061891944e-05,1.0,0.0,1.0480718117293384,0.007538375138663156,0.3413633457879726,0.0006551731806390731,-0.9606104014179424,0.022504753618259404,-7.382070804978561,0.17870787883259315,0.9899484700093615,,0.9964687721858648,,collapses_with_enough_pairs
openml_superconduct,gauss,real,3,21263.0,0.0,81.0,0.0,81.0,0.0,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,2.112545663999981,0.057710988745102644,0.008326045333357493,0.0014412593490333479,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5476602218904102,0.027994176868594855,0.028806584362139915,0.00712778110110649,1.0,0.0,0.9874164201975258,0.0007715467822722887,0.9493743786613805,0.0023228512503213547,0.9910977353976599,0.0008970827971750664,0.6960331657547464,0.014773378305342599,0.3319458690757318,0.0016580924685345479,-0.9873983466945416,0.0394221026511593,-7.37094942632286,0.15977414012006294,,,,,collapses_with_enough_pairs
openml_superconduct,gauss_white,real,3,21263.0,0.0,81.0,0.0,81.0,0.0,0.8939744166755391,0.006200527322395216,11.13405143303244,0.37424931956620944,7.26823045631255,0.26115113917802973,2.096875467000018,0.2835519790258345,0.008323699333307863,0.00044493872046376696,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,0.9792427984143349,0.0025929316231726287,-0.018942987642560822,0.002287531539975966,1.103186209414474,0.007606607213979549,1.1776781390193174,0.013369872962633714,0.3495879422819667,0.003921842433499259,0.004115226337448559,0.007127781101106491,1.0,0.0,0.668544877929922,0.0029705548632612835,0.9485964445435805,0.0021493931264979257,0.9909708353784691,0.0008991910427925301,0.8831092995079949,0.012989842652631301,2.4359174587731427e-06,4.3583242245521094e-08,-0.9993732013733818,0.027449953821081792,-7.438958680036412,0.1647497938542274,,,,,collapses_with_enough_pairs
openml_superconduct,gauss_white_rot,real,3,21263.0,0.0,81.0,0.0,81.0,0.0,0.8754076588873633,0.008721473980742073,12.068137202825008,0.4733874916645406,7.92972429280826,0.31017258353173227,2.267356400000002,0.3512169877673502,0.008841156999930414,0.0008358172258693059,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,0.9588972305293755,0.005528508602601236,-0.037509745430736895,0.004906660373459255,1.1956267738483404,0.01670121424531513,1.284785904343368,0.017889745709372587,0.3495879422819666,0.003921842433499315,0.008230452674897118,0.00712778110110649,0.024691358024691357,0.024691358024691357,0.3962268809208465,0.03937720558591397,0.9485964445435805,0.0021493931264979257,0.9909708353784691,0.0008991910427924875,0.2274026538564032,0.007876949048162192,5.645480199937316e-06,2.499330665573875e-07,-1.0112311353376036,0.016977058750392716,-7.442970910530588,0.16330847708392374,0.9786269652214584,,0.9901426015144559,,collapses_with_enough_pairs
openml_superconduct,gw_q8,real,3,21263.0,0.0,81.0,0.0,81.0,0.0,0.8759480760045601,0.005755213817638819,12.044462073861538,0.3311708214084985,8.14576172174362,0.3159019471672059,2.067631247999998,0.13760328800865587,0.00837638333337054,0.000741367511485891,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,0.9594980107366248,0.0021349836035473016,-0.036969328313539905,0.001790817711072029,1.1935214560522291,0.000526245561733973,1.3197811165390758,0.01639229023970008,0.41038263927107016,0.023965151883667286,0.0,0.0,1.0,0.0,0.6517297696630201,0.0046897830263998,0.8543156343280457,0.00302845427793506,0.8987228072230974,0.005308508277860829,0.35022013798911517,0.0019851940442203032,0.01089482064611035,5.4113531191489315e-05,-0.9990713390781089,0.02972128037241294,-7.432715659860615,0.16746277610917473,,,,,partial_recovery_with_enough_pairs
openml_superconduct,gw_q16,real,3,21263.0,0.0,81.0,0.0,81.0,0.0,0.8852513309968261,0.006685902833499328,11.582926434895226,0.3858508286518289,7.703641443159607,0.2881667380825897,2.0464357783332616,0.08696280027544454,0.00807014466658984,0.00028335766958107204,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,0.9696862022613818,0.0032498416244270928,-0.027666073321273982,0.002863585070224026,1.1476725159031202,0.009173313997097856,1.2481515010550386,0.010183106789206187,0.41334197446800425,0.025477396202913564,0.0,0.0,1.0,0.0,0.6629877333092115,0.0037641568258417555,0.9159404147215784,0.0020079085547620714,0.9604395924319377,0.0011468101096907145,0.4102077424464842,0.0021569084976909942,0.0070386113055697025,0.0001247838563509282,-0.9979081838693437,0.030206993423663196,-7.4409549254089,0.1674034390134991,,,,,collapses_with_enough_pairs
openml_superconduct,gw_q32,real,3,21263.0,0.0,81.0,0.0,81.0,0.0,0.8888272846875127,0.005365760673811052,11.401796598067433,0.31690680445765157,7.5045819399738365,0.26578571271310963,2.1147166283333263,0.06497121771988931,0.008324852666722412,0.0007043458134762191,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,0.9736085840617638,0.0026077672166651225,-0.024090119630587343,0.0023382871786150816,1.1298631032778776,0.010677447001319708,1.2159861710773072,0.014247426815923708,0.4144232392762805,0.025821821139876352,0.004115226337448559,0.007127781101106491,1.0,0.0,0.6675160246731219,0.0028509817968253573,0.9337388393817131,0.001625550048740136,0.9776266488723868,0.0006483632954526306,0.43343512586975974,0.0026252216800611104,0.005973554702310278,9.219339042124375e-05,-0.9979701467257943,0.029577790095470468,-7.430775793669812,0.1804655295265832,,,,,collapses_with_enough_pairs
openml_superconduct,gw_q64,real,3,21263.0,0.0,81.0,0.0,81.0,0.0,0.8905955086379729,0.0055960842326732586,11.310598647826575,0.3348081174990869,7.411398687593437,0.20060374826917576,2.1480217420000067,0.15057620460162444,0.008012247999962105,2.0372295918409227e-05,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,0.9755438912937974,0.0022575790157759916,-0.022321895680127324,0.0019934715951743787,1.120769561746962,0.007317513410683206,1.2010542013888925,0.005633389022941982,0.4139467537822668,0.025934225090729117,0.0,0.0,1.0,0.0,0.6690436013723385,0.002452389476766917,0.9382777434726376,0.002078094309058912,0.9825603432526945,0.0006250396010282152,0.44290677589635935,0.0020813258955828615,0.005627445189548268,8.937480964043381e-05,-0.9979954449472358,0.029881488548935575,-7.436601598188095,0.16802043380913156,,,,,collapses_with_enough_pairs
openml_superconduct,gw_q16_rot,real,3,21263.0,0.0,81.0,0.0,81.0,0.0,0.8668177201125431,0.010404370874498803,12.475895469550146,0.5359150677787174,8.359026186657715,0.32045979183422596,2.162484893999969,0.15994496260071783,0.008990105999979884,0.0007326266117311224,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,0.9494845784317602,0.007763044674599903,-0.046099684205557025,0.006942238438140465,1.2359902158642189,0.025644068750943914,1.3543444346810032,0.01711251803158717,0.41334197446800425,0.025477396202913595,0.016460905349794237,0.01425556220221298,0.024691358024691357,0.024691358024691357,0.402707768128268,0.038399475628924686,0.9159404147215784,0.0020079085547619947,0.9604395924319377,0.0011468101096907145,0.18363517496593115,0.011076428366298168,0.01157442054839603,0.00027698770216473274,-1.0134099297817265,0.01636267132809045,-7.441607843678537,0.16246602231662516,0.9656530144821724,,0.9797605910076945,,collapses_with_enough_pairs
openml_superconduct,gw_q16_p90_rot,real,3,21263.0,0.0,81.0,0.0,73.0,0.0,0.8605623472711675,0.0053130195568428336,12.77011019361926,0.29555733687356683,8.598106246892286,0.21109767653194794,2.301823867333345,0.18222455872557838,0.008788420333379085,0.0007782175576763211,0.9129174043181001,0.003964396237034209,10.091453626126027,0.2730602773424463,6.1710635487541206,0.18152142074905742,0.9426460807102798,0.0019068610039622608,-0.05235505704693263,0.0015539709938138327,1.2655314989008477,0.006348675037954596,1.3934288418864487,0.006895085327517794,0.41026100183609016,0.03039351022670242,0.0182648401826484,0.015817815594236322,0.0136986301369863,0.0136986301369863,0.38544814779012543,0.021786164663804362,0.8262628666695179,0.013747544400985915,0.917307284225743,0.0036286962960115844,0.1744584050786663,0.01448651152610136,0.011580458740652937,0.00030090060514720394,-0.99904408776802,0.04648987628797639,-7.435729034621403,0.1743140453172154,,,,,partial_recovery_with_enough_pairs
