dataset,task,method,family,seed,model,score,score_name,r2,rmse,mae,accuracy,roc_auc,retention,agreement,out_dim,distance_corr,rank_match,corr_gap,z_offdiag_corr,recon_r2,worst_attr_r2,sensitive_attr_r2,n_pairs_r2_0.5,known_pair_robustness,spearman_leak,semantic_acc,kind_acc,membership_auc,linkage,sensitive_hit
california_housing,regression,identity,baseline,0,linear,0.6237532465882905,r2,0.6237532465882905,0.6961824014453291,0.5024730180109679,,,1.0,0.9999999999999999,8,0.9999999999999999,1.0,1.8128535100804308e-16,0.12515559525949368,0.9986912905300931,1.0,0.9999917582068161,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.0
california_housing,regression,identity,baseline,0,hgb,0.8006841320831621,r2,0.8006841320831621,0.5067078093706993,0.3448394320585303,,,1.0,1.0,8,0.9999999999999999,1.0,1.8128535100804308e-16,0.12515559525949368,0.9986912905300931,1.0,0.9999917582068161,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.0
california_housing,regression,identity,baseline,0,mlp,0.5830046552133623,r2,0.5830046552133623,0.7329127273425476,0.5226968440980259,,,1.0000000000000384,1.0,8,0.9999999999999999,1.0,1.8128535100804308e-16,0.12515559525949368,0.9986912905300931,1.0,0.9999917582068161,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.0
california_housing,regression,identity,baseline,0,knn,0.6852878385674643,r2,0.6852878385674643,0.6367125687948673,0.45439171629629627,,,1.0,0.9999999999999999,8,0.9999999999999999,1.0,1.8128535100804308e-16,0.12515559525949368,0.9986912905300931,1.0,0.9999917582068161,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.0
california_housing,regression,vib,learned,0,linear,0.7397460870187612,r2,0.7397460870187612,0.5790089729977834,0.4069456018073342,,,1.1859594977098886,0.9287481674937166,4,-0.02475849699329476,0.3934890943088201,0.9451607809116639,0.5807424831922315,-0.21314331345910037,0.6313260844544357,0.6313260844544357,,resistant_in_tested_budget,0.7333783734551375,,,0.5297467818428184,,
california_housing,regression,vib,learned,0,hgb,0.7372261865286285,r2,0.7372261865286285,0.5818053386394668,0.40306638705374176,,,0.9207453438730785,0.9466444166409269,4,-0.02475849699329476,0.3934890943088201,0.9451607809116639,0.5807424831922315,-0.21314331345910037,0.6313260844544357,0.6313260844544357,,resistant_in_tested_budget,0.7333783734551375,,,0.5297467818428184,,
california_housing,regression,vib,learned,0,mlp,0.7408544749925177,r2,0.7408544749925177,0.5777746950299909,0.4004000356794252,,,1.2707522459171712,0.8884168323068522,4,-0.02475849699329476,0.3934890943088201,0.9451607809116639,0.5807424831922315,-0.21314331345910037,0.6313260844544357,0.6313260844544357,,resistant_in_tested_budget,0.7333783734551375,,,0.5297467818428184,,
california_housing,regression,vib,learned,0,knn,0.7289562761848328,r2,0.7289562761848328,0.5908895885866631,0.4104583518518518,,,1.0637227675142369,0.9253090519415246,4,-0.02475849699329476,0.3934890943088201,0.9451607809116639,0.5807424831922315,-0.21314331345910037,0.6313260844544357,0.6313260844544357,,resistant_in_tested_budget,0.7333783734551375,,,0.5297467818428184,,
california_housing,regression,capsule,learned,0,linear,0.737956976599208,r2,0.737956976599208,0.5809957572320733,0.4247283757952271,,,1.1830911993413606,0.8914684207551582,4,-0.020857405104060114,0.43576894061098564,0.8131627280776381,0.365426275738303,0.20838317096773615,0.619340038430808,0.619340038430808,,resistant_in_tested_budget,0.7966990309418348,,,0.5472349254742548,,
california_housing,regression,capsule,learned,0,hgb,0.7247336242606919,r2,0.7247336242606919,0.5954746016222011,0.4280103714163277,,,0.905142983632175,0.9344723442412209,4,-0.020857405104060114,0.43576894061098564,0.8131627280776381,0.365426275738303,0.20838317096773615,0.619340038430808,0.619340038430808,,resistant_in_tested_budget,0.7966990309418348,,,0.5472349254742548,,
california_housing,regression,capsule,learned,0,mlp,0.7366855395733277,r2,0.7366855395733277,0.5824035520853084,0.4195917049688343,,,1.2636014703926355,0.8626005868107128,4,-0.020857405104060114,0.43576894061098564,0.8131627280776381,0.365426275738303,0.20838317096773615,0.619340038430808,0.619340038430808,,resistant_in_tested_budget,0.7966990309418348,,,0.5472349254742548,,
california_housing,regression,capsule,learned,0,knn,0.7280873842548061,r2,0.7280873842548061,0.591835945830666,0.42657464148148144,,,1.0624548449259081,0.8943079547142109,4,-0.020857405104060114,0.43576894061098564,0.8131627280776381,0.365426275738303,0.20838317096773615,0.619340038430808,0.619340038430808,,resistant_in_tested_budget,0.7966990309418348,,,0.5472349254742548,,
california_housing,regression,capsule_soft,learned,0,linear,0.7419516103592252,r2,0.7419516103592252,0.5765503455011801,0.41803411820701264,,,1.1894953884688184,0.8898005460015807,4,-0.046203758407393186,0.3794740348666025,0.8624822513473285,0.4785021614807096,0.24870373756634112,0.7989277497712037,0.7989277497712037,,resistant_in_tested_budget,0.724667535299816,,,0.5023130504742547,,
california_housing,regression,capsule_soft,learned,0,hgb,0.741982329202518,r2,0.741982329202518,0.5765160273508882,0.41513562593942854,,,0.9266854424504231,0.9424461663620879,4,-0.046203758407393186,0.3794740348666025,0.8624822513473285,0.4785021614807096,0.24870373756634112,0.7989277497712037,0.7989277497712037,,resistant_in_tested_budget,0.724667535299816,,,0.5023130504742547,,
