dataset,method,model,n_runs,score_mean,score_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,retention_mean,retention_std,agreement_mean,agreement_std,out_dim_mean,out_dim_std,distance_corr_mean,distance_corr_std,rank_match_mean,rank_match_std,corr_gap_mean,corr_gap_std,z_offdiag_corr_mean,z_offdiag_corr_std,recon_r2_mean,recon_r2_std,worst_attr_r2_mean,worst_attr_r2_std,sensitive_attr_r2_mean,sensitive_attr_r2_std,n_pairs_r2_0.5_mean,n_pairs_r2_0.5_std,spearman_leak_mean,spearman_leak_std,semantic_acc_mean,semantic_acc_std,kind_acc_mean,kind_acc_std,membership_auc_mean,membership_auc_std,linkage_mean,linkage_std,sensitive_hit_mean,sensitive_hit_std,known_pair_robustness,task,family
california_housing,identity,linear,2,0.6111555438218315,0.01781584210707137,0.6111555438218315,0.01781584210707137,0.7329882480869927,0.05205132749526503,0.5267592675874326,0.034345943530214355,,,,,1.0,0.0,1.0,0.0,8.0,0.0,1.0,1.1102230246251565e-16,1.0,0.0,1.2873217302583526e-16,7.432141704824544e-17,0.12369966567073312,0.002058995370285461,0.999082318129536,0.0005529965343943044,1.0,0.0,0.9999862693736299,7.76238233350586e-06,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5447076010126094,0.01843282067667947,,,0.0,0.0,collapses_with_enough_pairs,regression,baseline
california_housing,identity,hgb,2,0.7886210034927483,0.01705984005721384,0.7886210034927483,0.01705984005721384,0.5405083979511366,0.04780125078664763,0.3605635734229115,0.0222372939741797,,,,,1.0,0.0,1.0,0.0,8.0,0.0,1.0,1.1102230246251565e-16,1.0,0.0,1.2873217302583526e-16,7.432141704824544e-17,0.12369966567073312,0.002058995370285461,0.999082318129536,0.0005529965343943044,1.0,0.0,0.9999862693736299,7.76238233350586e-06,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5447076010126094,0.01843282067667947,,,0.0,0.0,collapses_with_enough_pairs,regression,baseline
california_housing,identity,mlp,2,0.6425239125357461,0.08417294092768937,0.6425239125357461,0.08417294092768937,0.6980527296465604,0.049299481525960004,0.49065010967193823,0.045320926455141894,,,,,1.0,0.0,1.0,0.0,8.0,0.0,1.0,1.1102230246251565e-16,1.0,0.0,1.2873217302583526e-16,7.432141704824544e-17,0.12369966567073312,0.002058995370285461,0.999082318129536,0.0005529965343943044,1.0,0.0,0.9999862693736299,7.76238233350586e-06,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5447076010126094,0.01843282067667947,,,0.0,0.0,collapses_with_enough_pairs,regression,baseline
california_housing,identity,knn,2,0.6444020869676266,0.05782118442030811,0.6444020869676266,0.05782118442030811,0.7008688788661541,0.09073072381462746,0.4960643381481481,0.058933987002534265,,,,,1.0,0.0,1.0,0.0,8.0,0.0,1.0,1.1102230246251565e-16,1.0,0.0,1.2873217302583526e-16,7.432141704824544e-17,0.12369966567073312,0.002058995370285461,0.999082318129536,0.0005529965343943044,1.0,0.0,0.9999862693736299,7.76238233350586e-06,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5447076010126094,0.01843282067667947,,,0.0,0.0,collapses_with_enough_pairs,regression,baseline
california_housing,secret_affine,linear,2,0.6111555438218313,0.017815842107071215,0.6111555438218313,0.017815842107071215,0.7329882480869929,0.05205132749526488,0.5267592675874326,0.0343459435302142,,,,,0.9999999999999998,2.482534153247273e-16,0.9999999999999998,1.1102230246251565e-16,8.0,0.0,0.9999541337297235,6.12446386907409e-05,1.0,0.0,0.3194774359414573,0.034168993760513786,0.1236996656707331,0.0020589953702853823,0.9996468722475489,0.0002442549979411719,0.9999999999999999,1.5700924586837752e-16,0.9999996755206355,2.594678523536995e-07,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5447076010126094,0.01843282067667947,,,0.3333333333333333,0.0,collapses_with_enough_pairs,regression,typed
california_housing,secret_affine,hgb,2,0.7924026715236607,0.016137270444195568,0.7924026715236607,0.016137270444195568,0.5356482193821269,0.04657552725293856,0.3586423799292897,0.023308293654843094,,,,,1.0048090706965755,0.0012738838877943126,0.9949249138823181,8.863728826463146e-06,8.0,0.0,0.9999541337297235,6.12446386907409e-05,1.0,0.0,0.3194774359414573,0.034168993760513786,0.1236996656707331,0.0020589953702853823,0.9996468722475489,0.0002442549979411719,0.9999999999999999,1.5700924586837752e-16,0.9999996755206355,2.594678523536995e-07,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5447076010126094,0.01843282067667947,,,0.3333333333333333,0.0,collapses_with_enough_pairs,regression,typed
california_housing,secret_affine,mlp,2,0.5836274180233522,0.13069242170470657,0.5836274180233522,0.13069242170470657,0.7505475974261957,0.08346992398862442,0.5302824283335805,0.08066301413248886,,,,,0.9027588862112602,0.08514010177116343,0.9817362441511219,0.011470060385611651,8.0,0.0,0.9999541337297235,6.12446386907409e-05,1.0,0.0,0.3194774359414573,0.034168993760513786,0.1236996656707331,0.0020589953702853823,0.9996468722475489,0.0002442549979411719,0.9999999999999999,1.5700924586837752e-16,0.9999996755206355,2.594678523536995e-07,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5447076010126094,0.01843282067667947,,,0.3333333333333333,0.0,collapses_with_enough_pairs,regression,typed
california_housing,secret_affine,knn,2,0.6444020869676266,0.05782118442030811,0.6444020869676266,0.05782118442030811,0.7008688788661541,0.09073072381462755,0.4960643381481481,0.058933987002534265,,,,,1.0,0.0,1.0,0.0,8.0,0.0,0.9999541337297235,6.12446386907409e-05,1.0,0.0,0.3194774359414573,0.034168993760513786,0.1236996656707331,0.0020589953702853823,0.9996468722475489,0.0002442549979411719,0.9999999999999999,1.5700924586837752e-16,0.9999996755206355,2.594678523536995e-07,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5447076010126094,0.01843282067667947,,,0.3333333333333333,0.0,collapses_with_enough_pairs,regression,typed
california_housing,std_rot,linear,2,0.6111474359890613,0.017829040857886603,0.6111474359890613,0.017829040857886603,0.7329960422636673,0.05206395301978941,0.5267545943426214,0.03434409375279171,,,,,0.9999864130499176,2.1992459871259304e-05,0.9999999721088919,1.706326971231842e-08,8.0,0.0,0.3325706666854874,0.07613188109100015,0.6547632517550417,0.0021687137893106182,0.32487427972377064,0.03571030976253776,0.17691754914541208,0.014978294320613292,0.9610283148532367,0.054576614423191026,0.9999793810657351,2.850411912948181e-05,0.9998204435428337,5.759106211239735e-05,7.5,3.5355339059327378,0.9427980149462828,0.0026953730242800966,0.0,0.0,1.0,0.0,0.5485125866198355,0.02174238102282505,,,0.6666666666666666,0.0,collapses_with_enough_pairs,regression,classical
california_housing,std_rot,hgb,2,0.6939845108332088,0.03645244516053038,0.6939845108332088,0.03645244516053038,0.6503323447990694,0.07000709376299125,0.447962461100441,0.04337481926636243,,,,,0.8797033746167053,0.02719284193142251,0.9324082856925451,0.017855004250443427,8.0,0.0,0.3325706666854874,0.07613188109100015,0.6547632517550417,0.0021687137893106182,0.32487427972377064,0.03571030976253776,0.17691754914541208,0.014978294320613292,0.9610283148532367,0.054576614423191026,0.9999793810657351,2.850411912948181e-05,0.9998204435428337,5.759106211239735e-05,7.5,3.5355339059327378,0.9427980149462828,0.0026953730242800966,0.0,0.0,1.0,0.0,0.5485125866198355,0.02174238102282505,,,0.6666666666666666,0.0,collapses_with_enough_pairs,regression,classical
california_housing,std_rot,mlp,2,0.6647276028317205,0.0044524367542468305,0.6647276028317205,0.0044524367542468305,0.6804404408374164,0.037266615087738014,0.48025919249132265,0.02412520936985607,,,,,1.0439691569459586,0.14369331495822293,0.9672842914547353,0.001398103557266275,8.0,0.0,0.3325706666854874,0.07613188109100015,0.6547632517550417,0.0021687137893106182,0.32487427972377064,0.03571030976253776,0.17691754914541208,0.014978294320613292,0.9610283148532367,0.054576614423191026,0.9999793810657351,2.850411912948181e-05,0.9998204435428337,5.759106211239735e-05,7.5,3.5355339059327378,0.9427980149462828,0.0026953730242800966,0.0,0.0,1.0,0.0,0.5485125866198355,0.02174238102282505,,,0.6666666666666666,0.0,collapses_with_enough_pairs,regression,classical
california_housing,std_rot,knn,2,0.6401409902922071,0.05587437549061437,0.6401409902922071,0.05587437549061437,0.7050966158088998,0.08868021681655182,0.49881690814814816,0.05497577032816551,,,,,0.9934968795606636,0.002437594221420203,0.9925670101960019,0.0006937874155421399,8.0,0.0,0.3325706666854874,0.07613188109100015,0.6547632517550417,0.0021687137893106182,0.32487427972377064,0.03571030976253776,0.17691754914541208,0.014978294320613292,0.9610283148532367,0.054576614423191026,0.9999793810657351,2.850411912948181e-05,0.9998204435428337,5.759106211239735e-05,7.5,3.5355339059327378,0.9427980149462828,0.0026953730242800966,0.0,0.0,1.0,0.0,0.5485125866198355,0.02174238102282505,,,0.6666666666666666,0.0,collapses_with_enough_pairs,regression,classical
california_housing,gauss,linear,2,0.5892824268046855,0.018456169601394897,0.5892824268046855,0.018456169601394897,0.7533178616506552,0.05316363831311699,0.5580855129978887,0.020228691471360905,,,,,0.9641797378744467,0.002091931655550889,0.8954059464324842,0.03614592812353163,8.0,0.0,0.1916207675827329,0.03446675659728891,1.0,0.0,0.1508261435874808,0.004394896516760966,0.13141363685120327,0.0015152268600783713,0.4915045740507238,0.25336688500850973,0.9128752123066183,0.001254197752074632,0.9128752123066183,0.001254197752074632,17.5,10.606601717798213,1.0,0.0,0.0,0.0,1.0,0.0,0.5432124754743396,0.028826169619334655,,,0.3333333333333333,0.0,partial_recovery_with_enough_pairs,regression,classical
california_housing,gauss,hgb,2,0.7886154311068997,0.017051959497984045,0.7886154311068997,0.017051959497984045,0.5405154810096907,0.047791233809144656,0.36057776537031727,0.022217223617056216,,,,,0.9999930404694508,9.842282563338135e-06,0.9999998303893685,2.398656554460256e-07,8.0,0.0,0.1916207675827329,0.03446675659728891,1.0,0.0,0.1508261435874808,0.004394896516760966,0.13141363685120327,0.0015152268600783713,0.4915045740507238,0.25336688500850973,0.9128752123066183,0.001254197752074632,0.9128752123066183,0.001254197752074632,17.5,10.606601717798213,1.0,0.0,0.0,0.0,1.0,0.0,0.5432124754743396,0.028826169619334655,,,0.3333333333333333,0.0,partial_recovery_with_enough_pairs,regression,classical
california_housing,gauss,mlp,2,0.7258542943617752,0.01822793615029306,0.7258542943617752,0.01822793615029306,0.6155237055931944,0.05006374570332452,0.4361351680713964,0.02248162013007924,,,,,1.1413443461176063,0.1778894826234871,0.918407891806012,0.03219968128473103,8.0,0.0,0.1916207675827329,0.03446675659728891,1.0,0.0,0.1508261435874808,0.004394896516760966,0.13141363685120327,0.0015152268600783713,0.4915045740507238,0.25336688500850973,0.9128752123066183,0.001254197752074632,0.9128752123066183,0.001254197752074632,17.5,10.606601717798213,1.0,0.0,0.0,0.0,1.0,0.0,0.5432124754743396,0.028826169619334655,,,0.3333333333333333,0.0,partial_recovery_with_enough_pairs,regression,classical
