dataset,dataset_kind,dataset_n,dataset_d,method,seed,out_dim,r2,rmse,mae,train_time_s,infer_time_s,r2_raw,rmse_raw,mae_raw,r2_retention,delta_r2,rmse_ratio,mae_ratio,distance_preservation,semantic_unpaired_acc,semantic_paired_acc,semantic_max_abs_corr,recon_r2_knownpair_ridge,worst_attr_knownpair_ridge,known_pair_robustness,z_mean_abs_skew,z_offdiag_corr_mean_abs,aux_random_rot_r2,aux_ica_r2,neural_best_r2,neural_best_worst_attr
openml_superconduct,real,21263,81,raw,0,81,0.9093865184663978,10.342563455573,6.312702235404822,2.069187245999956,0.007574264000140829,0.9093865184663978,10.342563455573,6.312702235404822,1.0,0.0,1.0,1.0,1.0,0.9259259259259259,1.0,1.0,0.9996851617062281,1.0,collapses_with_enough_pairs,1.0471672304445736,0.3417827578855114,-0.9612836525715374,-7.358653910876433,0.9899484700093615,0.9964687721858648
openml_superconduct,real,21263,81,gauss,0,81,0.9093865184663978,10.342563455573,6.312702235404822,2.1262149609999597,0.007417411999995238,0.9093865184663978,10.342563455573,6.312702235404822,1.0,0.0,1.0,1.0,0.5587311950889172,0.024691358024691357,1.0,0.987742463124737,0.9502569953471969,0.9904412316980897,collapses_with_enough_pairs,0.7003450233818905,0.3322541960919491,-1.0157493008292466,-7.347148379455386,,
openml_superconduct,real,21263,81,gauss_white,0,81,0.8880353837457566,11.496673123465238,7.527664781355476,1.9625654399999348,0.008818195999992895,0.9093865184663978,10.342563455573,6.312702235404822,0.9765213863554432,-0.021351134720641207,1.1115883574560381,1.1924631482119545,0.35409330078755086,0.012345679012345678,1.0,0.6695565268524094,0.9495779133765453,0.9902796131581904,collapses_with_enough_pairs,0.8725862349732074,2.4360522617962874e-06,-0.9855164605516267,-7.389789540512233,,
openml_superconduct,real,21263,81,gauss_white_rot,0,81,0.8691059288435702,12.430590890575278,8.239627726869347,2.1076166880000073,0.009780468999906589,0.9093865184663978,10.342563455573,6.312702235404822,0.9557057545885358,-0.040280589622827656,1.2018868382071335,1.3052457441533285,0.35409330078755086,0.0,0.024691358024691357,0.44156915389126933,0.9495779133765453,0.9902796131581905,collapses_with_enough_pairs,0.2222593039967388,5.638116203609557e-06,-1.0063103195582792,-7.397257732355655,0.9786269652214584,0.9901426015144559
openml_superconduct,real,21263,81,gw_q8,0,81,0.8708215948911701,12.348856522224793,8.450845326014198,2.2135559030000422,0.009223989000020083,0.9093865184663978,10.342563455573,6.312702235404822,0.9575923737683464,-0.03856492357522778,1.1939841196304886,1.338704885938955,0.409963336629124,0.0,1.0,0.65435326553285,0.8559641774429214,0.9024080330225661,partial_recovery_with_enough_pairs,0.34851328613057186,0.010843221729019746,-0.9802879663580205,-7.379320181631048,,
openml_superconduct,real,21263,81,gw_q16,0,81,0.8802326438353529,11.890524632674744,7.936788870279939,2.121398060999809,0.007874125999933312,0.9093865184663978,10.342563455573,6.312702235404822,0.9679411624880799,-0.029153874631044907,1.149669004570394,1.2572728087452658,0.40904049016876026,0.0,1.0,0.6648246642142275,0.9182424163880154,0.9616815704621043,collapses_with_enough_pairs,0.4094854114870481,0.006934933961124725,-0.9798654217047984,-7.398812411364814,,
openml_superconduct,real,21263,81,gw_q32,0,81,0.8860089378439348,11.600245642379845,7.631946346554217,2.040666268999985,0.009136162999993758,0.9093865184663978,10.342563455573,6.312702235404822,0.9742930204618743,-0.02337758062246309,1.1216025593857153,1.2089824708902646,0.4090551755264307,0.0,1.0,0.6684083589939053,0.9355708229335853,0.9783319853261887,collapses_with_enough_pairs,0.43182475639818985,0.0058930543416696925,-0.9809529257624738,-7.377643839686819,,
openml_superconduct,real,21263,81,gw_q64,0,81,0.8867511995721636,11.562416005164618,7.541266290343078,2.125934503999815,0.008000228000128118,0.9093865184663978,10.342563455573,6.312702235404822,0.9751092429516035,-0.022635318894234202,1.1179448939164411,1.194617773676675,0.4080392527063155,0.0,1.0,0.6702126238767416,0.940571402784305,0.9832730200458978,collapses_with_enough_pairs,0.4421750845682721,0.0055414754581295,-0.9808992457926278,-7.390366850898549,,
openml_superconduct,real,21263,81,gw_q16_rot,0,81,0.8613291518584081,12.794531017541988,8.529439565247646,2.311048871999901,0.008246698999982982,0.9093865184663978,10.342563455573,6.312702235404822,0.9471540806553473,-0.04805736660798976,1.2370754187297508,1.3511550596209405,0.4090404901687602,0.0,0.024691358024691357,0.4467364619771153,0.9182424163880154,0.9616815704621043,collapses_with_enough_pairs,0.18342125303789986,0.011643750986420452,-1.0102295280350502,-7.384843781917998,0.9656530144821724,0.9797605910076945
openml_superconduct,real,21263,81,gw_q16_p90_rot,0,73,0.8565517606278401,13.013058936220993,8.759461501218205,2.2380313770001976,0.00967987500007439,0.9093865184663978,10.342563455573,6.312702235404822,0.9419006585586303,-0.05283475783855773,1.2582044086187376,1.387593010817257,0.40610647943257094,0.0273972602739726,0.0,0.4023994844332966,0.8227384259391932,0.9181963842259075,partial_recovery_with_enough_pairs,0.1907202075464323,0.011690290593119676,-0.9572486587516077,-7.380681321758518,,
openml_superconduct,real,21263,81,gw_q16_p80_rot,0,65,0.8544276352598477,13.10905102974724,8.89801675012978,2.0033258710000155,0.008287841000083063,0.9093865184663978,10.342563455573,6.312702235404822,0.9395648801796253,-0.05495888320655018,1.267485675679712,1.4095416540043992,0.39342402176766955,0.03076923076923077,0.015384615384615385,0.3647129691025311,0.7209134655535785,0.8481545227927394,partial_recovery_with_enough_pairs,0.19342712736429288,0.011440566626380823,-1.0021398220403095,-7.393649083397042,,
openml_superconduct,real,21263,81,gw_q16_p70_rot,0,57,0.8518067052589082,13.22653429755294,9.141415273325475,1.9433047289999195,0.008087354999815943,0.9093865184663978,10.342563455573,6.312702235404822,0.9366827943473441,-0.057579813207489616,1.278844877710268,1.448098600636634,0.3825132150139022,0.0,0.017543859649122806,0.39053977130841977,0.6402202373609163,0.8123847522031,partial_recovery_with_enough_pairs,0.16793555510750408,0.011702791793385202,-1.004559291005466,-7.4016675894743,,
openml_superconduct,real,21263,81,gw_q16_p50_rot,0,40,0.8306607686944028,14.138735747096154,9.885421416783954,2.3008906119998755,0.008160696999993888,0.9093865184663978,10.342563455573,6.312702235404822,0.9134298253016118,-0.07872574977199509,1.36704365487626,1.5659571841265567,0.3874252475308365,0.05,0.025,0.3777874613016773,0.4780787859689234,0.6554774828366158,resistant_in_tested_budget,0.16778862517891263,0.011993135172840431,-0.9706816867671227,-7.3958439445840485,0.8884066773727357,0.9374238201450429
openml_superconduct,real,21263,81,bn50,0,40,0.8981487693901908,10.96515880812342,6.586150484167213,2.117703161999998,0.0070987619999414164,0.9093865184663978,10.342563455573,6.312702235404822,0.9876424943101658,-0.011237749076207004,1.0601973925733992,1.0433171466933377,0.2473284263356578,0.05,0.0,0.8415401751930796,0.8207231940021877,0.943354719853964,partial_recovery_with_enough_pairs,0.3702757689188001,0.7303499470792277,-0.9988589754050179,-7.337656661129308,,
openml_superconduct,real,21263,81,bn50_rot,0,40,0.9017833833384048,10.767732808372095,6.493790192902247,2.1938690740000766,0.0072805150000476715,0.9093865184663978,10.342563455573,6.312702235404822,0.9916392700203923,-0.007603135127993044,1.0411087013993612,1.0286862821569174,0.24732842633565785,0.05,0.025,0.8371563622611599,0.8207231940021873,0.9433547198539642,partial_recovery_with_enough_pairs,0.4731870652515832,0.5082917091025605,-1.0458142289184575,-7.342419866079912,,
openml_superconduct,real,21263,81,bn50_q16_rot,0,40,0.8908134355362008,11.35315026964436,6.885611884860825,2.124922227999832,0.007406276999972761,0.9093865184663978,10.342563455573,6.312702235404822,0.9795762499739726,-0.018573082930196994,1.0977114444027718,1.0907550567240185,0.24425470726340945,0.05,0.025,0.83158017030991,0.7552183278701946,0.9265311288386369,partial_recovery_with_enough_pairs,0.4438540814592112,0.4944711014053371,-1.0456120882928384,-7.377800912438162,0.8976275389538322,0.9579505139563532
openml_superconduct,real,21263,81,bn50_adv_rot,0,40,0.8990630287997667,10.915833933740021,6.495985004447074,2.1236465420001878,0.007193122999979096,0.9093865184663978,10.342563455573,6.312702235404822,0.9886478527479814,-0.010323489666631103,1.055428277586068,1.029033963936127,0.21601285822389496,0.0,0.0,0.7237134938931917,0.7205082930102842,0.8886728100723839,partial_recovery_with_enough_pairs,0.36750515588950244,0.46680732380382417,-0.9385472708750248,-7.337782627445053,,
