dataset,Method,Model,Dimensions,Raw R2,Transformed R2,R2 Retention,dR2,Raw RMSE,Transformed RMSE,RMSE Ratio,Reconstruction R2 (known-pair ridge),Worst Attribute Leakage,Known-Pair Robustness
openml_superconduct,raw,HistGradientBoostingRegressor,81.0,0.9129174043181,0.9129174043181,1.0,0.0,10.091453626126029,10.091453626126029,1.0,0.9996398735623976,1.0,collapses_with_enough_pairs
openml_superconduct,gauss,HistGradientBoostingRegressor,81.0,0.9129174043181,0.9129174043181,1.0,0.0,10.091453626126029,10.091453626126029,1.0,0.9493743786613804,0.99109773539766,collapses_with_enough_pairs
openml_superconduct,gauss_white,HistGradientBoostingRegressor,81.0,0.9129174043181,0.8939744166755391,0.9792427984143348,-0.0189429876425608,10.091453626126029,11.13405143303244,1.103186209414474,0.9485964445435804,0.9909708353784692,collapses_with_enough_pairs
openml_superconduct,gauss_white_rot,HistGradientBoostingRegressor,81.0,0.9129174043181,0.8754076588873633,0.9588972305293756,-0.0375097454307368,10.091453626126029,12.068137202825008,1.1956267738483404,0.9485964445435804,0.9909708353784692,collapses_with_enough_pairs
openml_superconduct,gw_q8,HistGradientBoostingRegressor,81.0,0.9129174043181,0.8759480760045601,0.9594980107366248,-0.0369693283135399,10.091453626126029,12.044462073861538,1.1935214560522291,0.8543156343280457,0.8987228072230974,partial_recovery_with_enough_pairs
openml_superconduct,gw_q16,HistGradientBoostingRegressor,81.0,0.9129174043181,0.8852513309968261,0.9696862022613818,-0.0276660733212739,10.091453626126029,11.582926434895226,1.1476725159031202,0.9159404147215784,0.9604395924319375,collapses_with_enough_pairs
openml_superconduct,gw_q32,HistGradientBoostingRegressor,81.0,0.9129174043181,0.8888272846875127,0.9736085840617638,-0.0240901196305873,10.091453626126029,11.401796598067431,1.1298631032778776,0.9337388393817132,0.9776266488723868,collapses_with_enough_pairs
openml_superconduct,gw_q64,HistGradientBoostingRegressor,81.0,0.9129174043181,0.8905955086379729,0.9755438912937974,-0.0223218956801273,10.091453626126029,11.310598647826575,1.120769561746962,0.9382777434726376,0.9825603432526944,collapses_with_enough_pairs
openml_superconduct,gw_q16_rot,HistGradientBoostingRegressor,81.0,0.9129174043181,0.8668177201125431,0.9494845784317602,-0.046099684205557,10.091453626126029,12.475895469550146,1.2359902158642189,0.9159404147215784,0.9604395924319375,collapses_with_enough_pairs
openml_superconduct,gw_q16_p90_rot,HistGradientBoostingRegressor,73.0,0.9129174043181,0.8605623472711675,0.9426460807102798,-0.0523550570469326,10.091453626126029,12.77011019361926,1.2655314989008477,0.8262628666695179,0.917307284225743,partial_recovery_with_enough_pairs
openml_superconduct,gw_q16_p80_rot,HistGradientBoostingRegressor,65.0,0.9129174043181,0.8555884593685225,0.9372079367830988,-0.0573289449495777,10.091453626126029,12.996787768803138,1.288274201043725,0.7197156080708602,0.8446130877280048,partial_recovery_with_enough_pairs
openml_superconduct,gw_q16_p70_rot,HistGradientBoostingRegressor,57.0,0.9129174043181,0.8527797767941488,0.9341290579460414,-0.0601376275239512,10.091453626126029,13.122296224737696,1.300663176276604,0.6522964108901196,0.7880336750754409,partial_recovery_with_enough_pairs
openml_superconduct,gw_q16_p50_rot,HistGradientBoostingRegressor,40.0,0.9129174043181,0.8287719148772367,0.9078272120128912,-0.0841454894408634,10.091453626126029,14.149721848412128,1.402457822477113,0.4554230820668687,0.6384699158983141,resistant_in_tested_budget
openml_superconduct,bn50,HistGradientBoostingRegressor,40.0,0.9129174043181,0.8987664216402275,0.9845005762211032,-0.0141509826778726,10.091453626126029,10.88004962616941,1.0782631384991035,0.8181564652717901,0.9350598805247446,partial_recovery_with_enough_pairs
openml_superconduct,bn50_rot,HistGradientBoostingRegressor,40.0,0.9129174043181,0.9037140718170722,0.9899201658519262,-0.0092033325010279,10.091453626126029,10.611541711544051,1.051630069737149,0.8181564652717901,0.9350598805247448,partial_recovery_with_enough_pairs
openml_superconduct,bn50_q16_rot,HistGradientBoostingRegressor,40.0,0.9129174043181,0.8926624714186359,0.97780868723662,-0.0202549328994642,10.091453626126029,11.202159966303055,1.110037575450211,0.7565849759880297,0.9126541964758008,partial_recovery_with_enough_pairs
