dataset,task,method,family,seed,model,score,score_name,r2,rmse,mae,accuracy,roc_auc,retention,agreement,out_dim,distance_corr,rank_match,corr_gap,z_offdiag_corr,recon_r2,worst_attr_r2,sensitive_attr_r2,n_pairs_r2_0.5,known_pair_robustness,spearman_leak,semantic_acc,kind_acc,membership_auc,linkage,sensitive_hit
california_housing,regression,identity,baseline,0,linear,0.6237532465882905,r2,0.6237532465882905,0.6961824014453291,0.5024730180109679,,,1.0,1.0,8,0.9999999999999999,1.0,1.8128535100804308e-16,0.12515559525949368,0.9986912905300931,1.0,0.9999917582068161,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.0
california_housing,regression,identity,baseline,0,hgb,0.8006841320831621,r2,0.8006841320831621,0.5067078093706993,0.3448394320585303,,,1.0,1.0,8,0.9999999999999999,1.0,1.8128535100804308e-16,0.12515559525949368,0.9986912905300931,1.0,0.9999917582068161,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.0
california_housing,regression,identity,baseline,0,mlp,0.5830046552133623,r2,0.5830046552133623,0.7329127273425476,0.5226968440980259,,,1.0,1.0,8,0.9999999999999999,1.0,1.8128535100804308e-16,0.12515559525949368,0.9986912905300931,1.0,0.9999917582068161,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.0
california_housing,regression,identity,baseline,0,knn,0.6852878385674643,r2,0.6852878385674643,0.6367125687948673,0.45439171629629627,,,1.0,1.0,8,0.9999999999999999,1.0,1.8128535100804308e-16,0.12515559525949368,0.9986912905300931,1.0,0.9999917582068161,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.0
california_housing,regression,secret_affine,typed,0,linear,0.6237532465882902,r2,0.6237532465882902,0.6961824014453293,0.502473018010968,,,0.9999999999999997,0.9999999999999998,8,0.999910827230394,1.0,0.29531630874707715,0.1251555952594936,0.999474157882166,0.9999999999999998,0.9999998589921134,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.3333333333333333
california_housing,regression,secret_affine,typed,0,hgb,0.8038134448845926,r2,0.8038134448845926,0.5027143482242352,0.3421609274280628,,,1.003908298761072,0.9949311814850779,8,0.999910827230394,1.0,0.29531630874707715,0.1251555952594936,0.999474157882166,0.9999999999999998,0.9999998589921134,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.3333333333333333
california_housing,regression,secret_affine,typed,0,mlp,0.4912139203862622,r2,0.4912139203862622,0.8095697467036778,0.5873197926176097,,,0.8425557428979578,0.9736256866718368,8,0.999910827230394,1.0,0.29531630874707715,0.1251555952594936,0.999474157882166,0.9999999999999998,0.9999998589921134,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.3333333333333333
california_housing,regression,secret_affine,typed,0,knn,0.6852878385674643,r2,0.6852878385674643,0.6367125687948672,0.45439171629629627,,,1.0,1.0,8,0.999910827230394,1.0,0.29531630874707715,0.1251555952594936,0.999474157882166,0.9999999999999998,0.9999998589921134,10.0,collapses_with_enough_pairs,1.0,0.0,1.0,0.5577415735094851,,0.3333333333333333
california_housing,regression,std_rot,classical,0,linear,0.6237544716817249,r2,0.6237544716817249,0.6961812680279964,0.5024696527563158,,,1.0000019640674276,0.9999999841744457,8,0.2787372973015533,0.656296763981916,0.35012528191513326,0.1875088026301257,0.9996198090060786,0.9999995365216634,0.9998611665733892,5.0,collapses_with_enough_pairs,0.940892098402987,0.0,1.0,0.5638867716802168,,0.6666666666666666
california_housing,regression,std_rot,classical,0,hgb,0.7197602819970506,r2,0.7197602819970506,0.6008298540680959,0.4172918322644552,,,0.898931617546148,0.9450336802761482,8,0.2787372973015533,0.656296763981916,0.35012528191513326,0.1875088026301257,0.9996198090060786,0.9999995365216634,0.9998611665733892,5.0,collapses_with_enough_pairs,0.940892098402987,0.0,1.0,0.5638867716802168,,0.6666666666666666
california_housing,regression,std_rot,classical,0,mlp,0.6678759510534527,r2,0.6678759510534527,0.6540889645970079,0.4632000933483522,,,1.1455756743640924,0.9662956829485913,8,0.2787372973015533,0.656296763981916,0.35012528191513326,0.1875088026301257,0.9996198090060786,0.9999995365216634,0.9998611665733892,5.0,collapses_with_enough_pairs,0.940892098402987,0.0,1.0,0.5638867716802168,,0.6666666666666666
california_housing,regression,std_rot,classical,0,knn,0.6796501400961839,r2,0.6796501400961839,0.6423902331408227,0.4599431681481481,,,0.9917732401569163,0.9930575919822336,8,0.2787372973015533,0.656296763981916,0.35012528191513326,0.1875088026301257,0.9996198090060786,0.9999995365216634,0.9998611665733892,5.0,collapses_with_enough_pairs,0.940892098402987,0.0,1.0,0.5638867716802168,,0.6666666666666666
california_housing,regression,gauss,classical,0,linear,0.6023329094845608,r2,0.6023329094845608,0.7157254924869012,0.5437816680839589,,,0.9656589569338655,0.9209649773209149,8,0.16724909026728374,1.0,0.15393380471709564,0.13034220966340587,0.31234713153309435,0.9119883605711774,0.9119883605711774,25.0,partial_recovery_with_enough_pairs,1.0,0.0,1.0,0.5635956554878048,,0.3333333333333333
california_housing,regression,gauss,classical,0,hgb,0.8006729873004426,r2,0.8006729873004426,0.5067219755019727,0.3448678158915589,,,0.999986080924708,0.9999996607787369,8,0.16724909026728374,1.0,0.15393380471709564,0.13034220966340587,0.31234713153309435,0.9119883605711774,0.9119883605711774,25.0,partial_recovery_with_enough_pairs,1.0,0.0,1.0,0.5635956554878048,,0.3333333333333333
california_housing,regression,gauss,classical,0,mlp,0.7387433916206828,r2,0.7387433916206828,0.5801232915147747,0.4202382620253574,,,1.2671312055824404,0.8956392788175331,8,0.16724909026728374,1.0,0.15393380471709564,0.13034220966340587,0.31234713153309435,0.9119883605711774,0.9119883605711774,25.0,partial_recovery_with_enough_pairs,1.0,0.0,1.0,0.5635956554878048,,0.3333333333333333
california_housing,regression,gauss,classical,0,knn,0.6777472078709375,r2,0.6777472078709375,0.6442953613266177,0.4702766911111111,,,0.9889964037413973,0.9290115438840154,8,0.16724909026728374,1.0,0.15393380471709564,0.13034220966340587,0.31234713153309435,0.9119883605711774,0.9119883605711774,25.0,partial_recovery_with_enough_pairs,1.0,0.0,1.0,0.5635956554878048,,0.3333333333333333
california_housing,regression,gauss_white_rot,classical,0,linear,0.6023505408087324,r2,0.6023505408087324,0.7157096257879035,0.5437847417981606,,,0.9656872234387183,0.9209614034119594,8,0.1991979017958721,0.6333403828172687,0.24766488292724434,6.020319310212703e-07,0.3058580986066415,0.9118324401068311,0.9118324401068311,25.0,partial_recovery_with_enough_pairs,0.7774948449393738,0.0,1.0,0.5656334688346885,,0.6666666666666666
california_housing,regression,gauss_white_rot,classical,0,hgb,0.7185383814426196,r2,0.7185383814426196,0.6021382978041441,0.4267858042761471,,,0.8974055468954759,0.9386993483123587,8,0.1991979017958721,0.6333403828172687,0.24766488292724434,6.020319310212703e-07,0.3058580986066415,0.9118324401068311,0.9118324401068311,25.0,partial_recovery_with_enough_pairs,0.7774948449393738,0.0,1.0,0.5656334688346885,,0.6666666666666666
california_housing,regression,gauss_white_rot,classical,0,mlp,0.7394178083879066,r2,0.7394178083879066,0.5793740325832185,0.42076211571837513,,,1.2682880004059345,0.8924169800149463,8,0.1991979017958721,0.6333403828172687,0.24766488292724434,6.020319310212703e-07,0.3058580986066415,0.9118324401068311,0.9118324401068311,25.0,partial_recovery_with_enough_pairs,0.7774948449393738,0.0,1.0,0.5656334688346885,,0.6666666666666666
california_housing,regression,gauss_white_rot,classical,0,knn,0.6725228149309153,r2,0.6725228149309153,0.6494970523744341,0.4746192785185185,,,0.9813727562082041,0.8967455012482354,8,0.1991979017958721,0.6333403828172687,0.24766488292724434,6.020319310212703e-07,0.3058580986066415,0.9118324401068311,0.9118324401068311,25.0,partial_recovery_with_enough_pairs,0.7774948449393738,0.0,1.0,0.5656334688346885,,0.6666666666666666
california_housing,regression,keyed_monotone,typed,0,linear,0.5832002756101264,r2,0.5832002756101264,0.7327407955704518,0.5552280921629213,,,0.9349855552656849,0.8739262771874795,11,0.027499978494636788,1.0,0.343729250715669,0.13850212411337115,0.5454874005893082,0.9923172058962018,0.949578656343422,25.0,partial_recovery_with_enough_pairs,1.0,,,0.5757166751355014,,
california_housing,regression,keyed_monotone,typed,0,hgb,0.7974231119147286,r2,0.7974231119147286,0.5108361320202967,0.3463152716092528,,,0.9959272076993093,0.9942546334038685,11,0.027499978494636788,1.0,0.343729250715669,0.13850212411337115,0.5454874005893082,0.9923172058962018,0.949578656343422,25.0,partial_recovery_with_enough_pairs,1.0,,,0.5757166751355014,,
california_housing,regression,keyed_monotone,typed,0,mlp,0.718418033205914,r2,0.718418033205914,0.6022670161318524,0.44318339290617775,,,1.2322680904546026,0.8768435623059223,11,0.027499978494636788,1.0,0.343729250715669,0.13850212411337115,0.5454874005893082,0.9923172058962018,0.949578656343422,25.0,partial_recovery_with_enough_pairs,1.0,,,0.5757166751355014,,
california_housing,regression,keyed_monotone,typed,0,knn,0.6447497307507899,r2,0.6447497307507899,0.6764782970557914,0.5028950244444443,,,0.9408451375681555,0.9161975775128419,11,0.027499978494636788,1.0,0.343729250715669,0.13850212411337115,0.5454874005893082,0.9923172058962018,0.949578656343422,25.0,partial_recovery_with_enough_pairs,1.0,,,0.5757166751355014,,
california_housing,regression,typed_keyed,typed,0,linear,0.6023329094845609,r2,0.6023329094845609,0.7157254924869011,0.5437816680839589,,,0.9656589569338657,0.9209649773209148,8,0.22468080780119346,1.0,0.37582123619776897,0.13034220966340587,0.3080309165791178,0.9115853240115721,0.9115853240115721,25.0,partial_recovery_with_enough_pairs,1.0,0.0,1.0,0.5635956554878048,,0.3333333333333333
california_housing,regression,typed_keyed,typed,0,hgb,0.800680453126545,r2,0.800680453126545,0.5067124857355708,0.34485351925512203,,,0.9999954052335126,0.9999999163940039,8,0.22468080780119346,1.0,0.37582123619776897,0.13034220966340587,0.3080309165791178,0.9115853240115721,0.9115853240115721,25.0,partial_recovery_with_enough_pairs,1.0,0.0,1.0,0.5635956554878048,,0.3333333333333333
california_housing,regression,typed_keyed,typed,0,mlp,0.7369695955496786,r2,0.7369695955496786,0.5820893273175083,0.42069090563380085,,,1.2640886980224364,0.8968077993418561,8,0.22468080780119346,1.0,0.37582123619776897,0.13034220966340587,0.3080309165791178,0.9115853240115721,0.9115853240115721,25.0,partial_recovery_with_enough_pairs,1.0,0.0,1.0,0.5635956554878048,,0.3333333333333333
california_housing,regression,typed_keyed,typed,0,knn,0.6777472078709375,r2,0.6777472078709375,0.6442953613266177,0.4702766911111111,,,0.9889964037413973,0.9290115438840154,8,0.22468080780119346,1.0,0.37582123619776897,0.13034220966340587,0.3080309165791178,0.9115853240115721,0.9115853240115721,25.0,partial_recovery_with_enough_pairs,1.0,0.0,1.0,0.5635956554878048,,0.3333333333333333
california_housing,regression,bn_adv,learned,0,linear,0.7434370636329869,r2,0.7434370636329869,0.5748884969617977,0.4033682991651961,,,1.1918768642878006,0.917483466580178,5,-0.04151103809165275,0.39603267430972466,0.7484338408316262,0.6434682711505724,0.07615149114311862,0.8524929280923168,0.8524929280923168,,resistant_in_tested_budget,0.7964367881221671,,,0.5477906927506775,,
california_housing,regression,bn_adv,learned,0,hgb,0.7451916184174441,r2,0.7451916184174441,0.5729193820914403,0.3953485981332415,,,0.9306936263101135,0.9512183180476986,5,-0.04151103809165275,0.39603267430972466,0.7484338408316262,0.6434682711505724,0.07615149114311862,0.8524929280923168,0.8524929280923168,,resistant_in_tested_budget,0.7964367881221671,,,0.5477906927506775,,
california_housing,regression,bn_adv,learned,0,mlp,0.7456195606554812,r2,0.7456195606554812,0.5724380803599001,0.3998558333226236,,,1.278925569440962,0.8918007494351021,5,-0.04151103809165275,0.39603267430972466,0.7484338408316262,0.6434682711505724,0.07615149114311862,0.8524929280923168,0.8524929280923168,,resistant_in_tested_budget,0.7964367881221671,,,0.5477906927506775,,
california_housing,regression,bn_adv,learned,0,knn,0.7353877549565025,r2,0.7353877549565025,0.5838370194057859,0.4039629303703704,,,1.0731078439882544,0.9255310217270376,5,-0.04151103809165275,0.39603267430972466,0.7484338408316262,0.6434682711505724,0.07615149114311862,0.8524929280923168,0.8524929280923168,,resistant_in_tested_budget,0.7964367881221671,,,0.5477906927506775,,
